Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\TextViewer,2,83,29,14,0,18,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI,16,1157,632,372,34,237,9,288,1866,288,1856
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets,12,848,448,259,15,184,7,216,1400,216,1392
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\WidgetsManager,2,184,117,75,8,31,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidget,6,822,529,349,37,179,3,114,706,108,696
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidgetContainer,4,249,150,86,6,63,2,36,234,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidget\ThumbnailWidget,4,214,95,44,1,47,2,72,466,72,464
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DownloadDialog,2,160,92,61,2,32,2,36,235,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DragDropScreen,2,171,98,65,2,37,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ListWidget,4,425,245,140,15,97,2,83,486,72,464
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\LoaderScreen,2,124,61,34,0,27,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\MainWindow,6,974,651,425,48,207,4,116,744,108,696
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\NavTab,4,427,257,162,13,97,2,73,474,72,464
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\PopupWindow,4,841,623,473,46,141,3,77,481,72,464
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\SearchBox,4,491,311,209,17,104,2,76,505,72,464
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\SearchBox\DateTimePicker,2,156,93,62,7,27,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings,12,1159,728,503,14,258,6,173,1167,154,1044
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\TooltipWindow,2,112,54,36,0,22,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\UtilsUI,2,108,51,32,2,21,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\WelcomeScreen,2,150,87,45,0,27,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Utils,6,331,171,64,27,51,4,109,706,108,696
