File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.h,105,61,37,0,26,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\UpdaterUtils\updaterutils.cpp,136,89,63,6,29,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\UpdaterUtils\updaterutils.h,68,32,15,0,18,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_uglobalhotkeys.cpp,132,105,45,14,16,16,11,64,7,36
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_ukeysequence.cpp,91,70,26,6,13,11,8,48,7,36
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_predefs.h,13,12,0,0,1,0,0,0,0,0
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.cpp,118,82,66,2,18,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\iconwidget.cpp,34,11,5,0,5,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,185,133,101,8,34,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\popup.cpp,53,25,17,1,10,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.h,74,36,15,0,20,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\iconwidget.h,42,15,5,0,9,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.h,100,62,33,0,20,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\popup.h,51,21,8,0,12,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,259,180,138,10,60,0,19,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.h,101,56,30,0,27,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\cloudpopup.cpp,52,26,20,1,8,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\platformselector.cpp,37,13,10,0,6,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\cloudpopup.h,57,25,8,0,14,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\platformselector.h,49,19,6,0,12,1,18,117,18,116
