File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core\core.cpp,"Core::byteArrayToClipboardData(const QByteArray &array, QDateTime &dateTime, QString &userName)",19,12,11,3,7,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core\core.cpp,Core::reorderBookmarks(const Core::Bookmarks &bookmarks),21,16,13,4,5,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core\core.cpp,Core::saveData(const Core::ClipboardData &data),71,69,45,20,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core\core.cpp,Core::supportedFiles(),10,10,11,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core\core.cpp,Core::isFileSupported(const QUrl &url),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core\core.cpp,Core::getFileType(const QUrl &url),6,6,5,3,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,"ExcludedProcessesManager::ExcludedProcessesManager(QString fileName, QObject *parent)",2,1,1,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::checkProcessName(const QString &procName),8,7,5,4,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::loadFromFile(),13,9,8,3,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::saveToFile(),13,9,8,3,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::fromStringList(const QStringList &list),6,5,4,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::fileName() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::setFileName(const QString &fileName),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::toStringList(),8,6,5,2,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::regExps() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,ExcludedProcessesManager::setRegExps(const QList<QRegExp> &regExps),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysmanager.cpp,HotKeysManager::HotKeysManager(QObject *parent),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysmanager.cpp,HotKeysManager::init(),22,21,15,6,1,0,0,0,
