File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\iconwidget.cpp,IconWidget::IconWidget(QWidget *parent),3,3,3,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\iconwidget.cpp,IconWidget::mouseReleaseEvent(QMouseEvent *event),4,3,2,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::NavBar(QWidget *parent),61,47,46,1,14,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::~NavBar(),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::setUrl(const QUrl &url),3,3,3,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::setIcon(const QIcon &icon),6,6,5,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::setTitle(const QString &title),4,4,4,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::setLoading(),3,3,3,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::enableBack(bool enabled),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::enableForward(bool enabled),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::showDetails(),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::controls() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::setControls(int flags),36,31,26,5,5,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\navbar.cpp,NavBar::resizeEvent(QResizeEvent *event),5,4,4,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\popup.cpp,Popup::Popup(QWidget *parent),10,7,7,0,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\popup.cpp,Popup::setTitle(const QString &title),5,4,4,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\popup.cpp,Popup::setHttpsUse(bool use),8,7,6,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,"BubbleSearch::BubbleSearch(const QIcon &icon, QWidget *parent)",47,37,37,0,10,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::setPlaceholderText(const QString &placeholder),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::toggle(),28,24,21,3,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::raiseProgress() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::setRaiseProgress(float raiseProgress),4,3,3,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,"BubbleSearch::updateMask(const QRect &r, qreal radius)",19,13,13,0,6,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::setRaised(const bool raised),18,16,15,1,1,0,1,1,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::setSmallWidth(int smallWidth),5,4,4,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::animProgress() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::setAnimProgress(float animProgress),6,4,4,0,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::isLarge() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::paintEvent(QPaintEvent *event),40,25,24,0,15,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::mouseReleaseEvent(QMouseEvent *event),6,5,3,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::enterEvent(QEvent *event),6,5,3,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\BubbleSearch\bubblesearch.cpp,BubbleSearch::leaveEvent(QEvent *event),6,5,3,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\cloudpopup.cpp,CloudPopup::CloudPopup(),20,16,16,0,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\cloudpopup.cpp,CloudPopup::platformSelected(int platform),5,5,4,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\platformselector.cpp,PlatformSelector::PlatformSelector(QWidget *parent),13,10,10,0,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\Setting\pastebinsettings.cpp,PastebinSettings::PastebinSettings(QWidget *parent),61,46,44,1,15,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\Setting\pastebinsettings.cpp,PastebinSettings::upload(),13,9,8,1,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\Setting\pastebinsettings.cpp,PastebinSettings::checkKey(),7,6,6,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\Setting\pastebinsettings.cpp,PastebinSettings::initOptions(),19,18,9,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\Setting\pastebinsettings.cpp,PastebinSettings::toggleOptions(),7,7,6,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\Setting\pastebinsettings.cpp,PastebinSettings::applyOptions(CloudTypes::CloudData &data),53,48,33,15,5,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::ContentViewer(QWidget *parent),76,60,58,0,16,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::~ContentViewer(),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::data() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::setData(const Core::ClipboardData &data),4,3,3,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::dateTime() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::setDateTime(const QDateTime &dateTime),4,3,3,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::title() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::setTitle(const QString &title),4,3,3,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::save(),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::print(),4,3,3,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::fadeIn(),7,7,7,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::fadeOut(),11,11,11,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::animationDuration() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::setAnimationDuration(int animationDuration),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,"ContentViewer::elidedText(const QString &text, QLabel *label)",3,3,3,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::applyMask(),12,9,7,2,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::displayInfos(),5,3,3,0,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::displayData(),28,26,18,8,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,ContentViewer::paintEvent(QPaintEvent *event),29,19,17,1,10,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.cpp,"ColorViewer::ColorViewer(const QColor &color, QWidget *parent)",4,4,4,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.cpp,"ColorViewer::drawColorWheel(QPainter &painter, const QRect &rect, const QColor &color)",39,26,24,0,11,0,2,10,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.cpp,"ColorViewer::getPositionFromHS(float h, float s)",4,3,3,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.cpp,ColorViewer::getHue(const QColor &color),31,22,19,5,9,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.cpp,ColorViewer::getSaturation(const QColor &color),13,11,10,3,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.cpp,ColorViewer::getValue(const QColor &color),8,6,6,1,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.cpp,ColorViewer::paintEvent(QPaintEvent *event),31,20,16,0,11,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\HTMLViewer\htmlviewer.cpp,"HTMLViewer::HTMLViewer(const QString &html, QWidget *parent)",18,12,12,0,5,0,1,1,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\HTMLViewer\htmlviewer.cpp,HTMLViewer::paintEvent(QPaintEvent *event),8,5,4,0,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,"ImageViewer::ImageViewer(const QPixmap &image, QWidget *parent)",32,23,23,0,8,0,1,1,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::drawCheckeredBg(QPainter &painter),13,10,8,2,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::constrainImgPos(),16,13,9,4,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::updateScale(),5,4,4,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::paintEvent(QPaintEvent *event),28,17,12,1,8,2,3,26,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::wheelEvent(QWheelEvent *event),15,11,10,1,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::enterEvent(QEvent *event),4,3,2,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::leaveEvent(QEvent *event),4,3,2,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::mouseMoveEvent(QMouseEvent *event),11,8,7,1,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::mousePressEvent(QMouseEvent *event),9,8,7,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::mouseReleaseEvent(QMouseEvent *event),13,10,8,1,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,ImageViewer::resizeEvent(QResizeEvent *event),4,3,2,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linksviewer.cpp,"LinksViewer::LinksViewer(const Core::Urls &urls, QWidget *parent)",13,9,9,0,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linksviewer.cpp,LinksViewer::openBrowser(const QUrl &url),13,9,9,0,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linksviewer.cpp,LinksViewer::viewFile(const QUrl &url),9,7,7,0,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linksviewer.cpp,LinksViewer::displayLinks(),7,7,6,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linkviewer.cpp,"LinkViewer::LinkViewer(const QUrl &url, QWidget *parent)",41,30,26,1,9,0,2,5,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linkviewer.cpp,LinkViewer::~LinkViewer(),2,1,1,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linkviewer.cpp,LinkViewer::setUrl(const QUrl &url),21,14,13,1,7,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linkviewer.cpp,LinkViewer::removeWidget(),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linkviewer.cpp,LinkViewer::fadeIn(),1,1,1,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linkviewer.cpp,LinkViewer::fadeOut(),1,1,1,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\FileViewer\errorwidget.cpp,"ErrorWidget::ErrorWidget(ErrType type, const QString fileName, QWidget *parent)",24,19,16,3,5,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\FileViewer\fileviewer.cpp,"FileViewer::FileViewer(const QUrl &url, QWidget *parent)",29,24,24,0,5,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\FileViewer\fileviewer.cpp,FileViewer::show(),11,10,10,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\FileViewer\fileviewer.cpp,FileViewer::setViewer(const QUrl &url),31,30,20,7,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\TextViewer\textviewer.cpp,"TextViewer::TextViewer(const QString &text, QWidget *parent)",13,9,9,0,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\coreui.cpp,"CoreUI::copyDataWidget(DataWidget *widget, QWidget *parent)",20,16,15,2,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\coreui.cpp,"CoreUI::getWidgetFromUUID(const QList<AbstractListedWidget *> &widgets, const QUuid &uuid)",8,7,5,4,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\coreui.cpp,"CoreUI::filterDataWidgets(const Core::Filter &filter, QList<AbstractListedWidget *> widgets)",27,23,14,5,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\browsedialog.cpp,BrowseDialog::BrowseDialog(QWidget *parent),43,33,32,1,10,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\browsedialog.cpp,BrowseDialog::getFileName(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\browsedialog.cpp,BrowseDialog::setText(const QString &text),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\flatactionbutton.cpp,"FlatActionButton::FlatActionButton(const QIcon &icon, const QString &tooltip, QWidget *parent)",7,7,7,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::InfosPopup(QWidget *parent),12,9,9,0,3,1,0,2,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::setLayout(QLayout *layout),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::setAnchorWidget(QWidget *anchor),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::cleanDestroy(),3,3,3,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::moveToPoint(const QPoint &point),3,3,3,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::paintEvent(QPaintEvent *event),33,22,18,0,11,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::updatePopupPos(),7,6,4,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::setVisible(bool visible),4,3,3,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,InfosPopup::trigger(),3,3,3,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,"InfosPopup::eventFilter(QObject *watched, QEvent *event)",18,15,10,5,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\lineedit.cpp,LineEdit::LineEdit(QWidget *parent),4,4,4,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\lineedit.cpp,LineEdit::setBorderColor(const QColor &color),12,12,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\lineedit.cpp,LineEdit::resetColor(),12,12,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\linkbutton.cpp,LinkButton::LinkButton(QWidget *parent),6,6,6,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\linkbutton.cpp,LinkButton::description() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\linkbutton.cpp,LinkButton::setDescription(const QString &description),4,3,3,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\linkbutton.cpp,LinkButton::paintEvent(QPaintEvent *event),25,16,14,0,9,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\tooltipwindow.cpp,TooltipWindow::TooltipWindow(QWidget *parent),18,14,14,0,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\tooltipwindow.cpp,TooltipWindow::getCentralWidget() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\tooltipwindow.cpp,TooltipWindow::setCentralWidget(QWidget *value),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\tooltipwindow.cpp,TooltipWindow::getAutoClose() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\tooltipwindow.cpp,TooltipWindow::setAutoClose(bool autoClose),5,5,4,1,0,0,0,0,
